url,pub_date,pub_date_guess,pub_date_match,pub_date_diff,language,language_guess,language_match,title,title_guess,title_match
https://www.cbc.ca/news/canada/kitchener-waterloo/teen-driver-charged-following-collision-near-shakespeare-opp-say-1.5230335?cmp=rss,2019-07-30,2019-07-30,True,0,en,en,True,Teen driver charged following collision near Shakespeare: OPP,Teen driver charged following collision near Shakespeare: OPP,True
http://entretenimento.uol.com.br/noticias/redacao/2019/08/25/sem-feige-sem-stark-o-sera-do-homem-aranha-longe-do-mcu.htm,2019-08-25,2019-08-25,True,0,pt,pt,True,"Disputa Disney x Sony | Sem Feige, sem Stark: o que será do Homem-Aranha longe do MCU","Sem Feige, sem Stark: O que Homem-Aranha poderá fazer fora do MCU",False
http://gori.me/apple/apple-news/118366,2019-06-26,2019-06-26,True,0,ja,ja,True,ARMのリード・アーキテクトだったMike Filippo氏、Appleに転職へ,ARMのリード・アーキテクトだったMike Filippo氏、Appleに転職へ,True
http://feeds.tsf.pt/~r/TSF-Portugal/~3/Kc27nO9OH38/conselho-nacional-promete-ser-tenso-e-com-jogadas-de-bastidores-11165377.html,2019-07-30,2019-07-30,True,0,pt,pt,True,Conselho Nacional promete ser tenso e com jogadas de bastidores,Aprovadas listas do PSD para as eleições Legislativas,False
https://www.thestar.com/business/economy/opinion/2019/08/23/what-the-fed-could-learn-from-canada.html,2019-08-23,2019-08-23,True,0,en,en,True,What the Fed could learn from Canada,What the Fed could learn from Canada,True
https://www.bhaskar.com/chhatisgarh/korba/news/chhattisgarh-news-13-students-of-mgm-balco-school-will-show-up-at-state-level-soccer-competition-071506-5010690.html,2019-07-16,2019-07-16,True,0,hi,hi,True, एमजीएम बालको स्कूल के 13 छात्र राज्य स्तरीय फुटबाल स्पर्धा में दिखाएंगे जौहर ,एमजीएम बालको स्कूल के 13 छात्र राज्य स्तरीय फुटबाल स्पर्धा में दिखाएंगे जौहर,False
https://www.yjc.ir/fa/news/6924752/فرانسه-از-چین-و-آمریکا-خواست-از-تنش‌های-تجاری-اجتناب-کنند,2019-05-07,2019-05-07,True,0,fa,fa,True,فرانسه از چین و آمریکا خواست از تنش‌های تجاری اجتناب کنند,فرانسه از چین و آمریکا خواست از تنش‌های تجاری اجتناب کنند,True
http://www.haberler.com/flash-2-12293409-haberi/,2019-07-31,2019-07-31,True,0,tr,tr,True,flash,flash,True
http://www.atv.hu/belfold/20190730-gyarfas-ugyvedje-aki-a-vadiratot-alkotta-nem-biztos-hogy-az-ugy-minden-reszletet-megismerte,2019-07-30,2022-04-21,False,-996,hu,hu,True," Gyárfás ügyvédje: Aki a vádiratot alkotta, nem biztos, hogy az ügy minden részletét megismerte ",ATV,False
http://oshiete.goo.ne.jp/qa/11263234.html,2019-08-23,2019-08-23,True,0,ja,ja,True,携帯電話の乗り換えと機種変についてです。 今のキャリアは、SoftBankですが、auに乗り換えをし,携帯電話の乗り換えと機種変についてです。 今のキャリアは、SoftBankですが、auに乗り換えをし,True
http://www.balatarin.com/permlink/2017/3/9/4457037,2017-03-09,2017-03-09,True,0,fa,fa,True,اوما تورمن در برابر دوربین لارس فون‌تریه,اوما تورمن در برابر دوربین لارس فون‌تریه,True
http://www.washingtontimes.com/news/2017/may/12/ricketts-nebraska-will-benefit-from-exporting-beef/?utm_source=RSS_Feed&utm_medium=RSS,2017-05-12,2017-05-12,True,0,en,en,True,Ricketts: Nebraska will benefit from exporting beef to China,Ricketts: Nebraska will benefit from exporting beef to China,True
http://timesofindia.indiatimes.com/videos/news/punjab-exit-poll-c-voter-predicts-majority-for-aap/videoshow/57559218.cms,2017-03-09,2017-03-09,True,0,en,en,True,Punjab exit poll: C-Voter predicts majority for AAP,Punjab exit poll: C-Voter predicts majority for AAP,True
https://inopressa.ru/article/09Mar2017/welt/deutschland.html?utm_source=rss,2017-03-09,2022-08-11,False,-1981,en,ru,False,ИГИЛ* еще активнее берет Германию на прицел,ИГИЛ* еще активнее берет Германию на прицел,True
https://rpp.pe/peru/arequipa/arequipa-que-implica-el-estado-de-emergencia-en-caraveli-y-atico-por-la-muerte-de-14-personas-noticia-1411007,2022-06-10,2022-06-10,True,0,es,es,True,Arequipa: ¿Qué implica el estado de emergencia en Caravelí y Atico por la muerte de 14 personas?,Arequipa: ¿Qué implica el estado de emergencia en Caravelí y Atico por la muerte de 14 personas?,True
