,ap_syndicated,collect_date,feeds,guid,language,media_id,media_name,media_url,processed_stories_id,publish_date,stories_id,story_tags,title,url,word_count,metadata
0,False,2019-07-30 13:47:41.081623,,1.5230335,en,380700,Calgary - CBC News,http://www.cbc.ca/news/canada/calgary,1745022108,2019-07-30 13:05:28,1352332672,[],Teen driver charged following collision near Shakespeare: OPP,https://www.cbc.ca/news/canada/kitchener-waterloo/teen-driver-charged-following-collision-near-shakespeare-opp-say-1.5230335?cmp=rss,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
1,False,2019-08-25 07:30:47.132186,,http://entretenimento.uol.com.br/noticias/redacao/2019/08/25/sem-feige-sem-stark-o-sera-do-homem-aranha-longe-do-mcu.htm,pt,83367,UOL Economia: encontre orientações e notícias sobre economia - UOL Economia,http://economia.uol.com.br,1767367195,2019-08-25 07:16:28,1373933418,[],"Disputa Disney x Sony | Sem Feige, sem Stark: o que será do Homem-Aranha longe do MCU",http://entretenimento.uol.com.br/noticias/redacao/2019/08/25/sem-feige-sem-stark-o-sera-do-homem-aranha-longe-do-mcu.htm,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
2,False,2019-06-27 06:02:19.455543,,http://gori.me/apple/apple-news/118366,ja,371465,gori.me（ゴリミー）,http://gori.me/,1714812296,2019-06-26 18:44:19,1323127901,[],ARMのリード・アーキテクトだったMike Filippo氏、Appleに転職へ,http://gori.me/apple/apple-news/118366,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
3,False,2019-07-30 14:40:52.601122,,http://feeds.tsf.pt/~r/TSF-Portugal/~3/Kc27nO9OH38/conselho-nacional-promete-ser-tenso-e-com-jogadas-de-bastidores-11165377.html,pt,41560,tsfPT,http://www.tsf.pt/paginainicial/,1745048268,2019-07-30 15:34:00,1352357201,[],Conselho Nacional promete ser tenso e com jogadas de bastidores,http://feeds.tsf.pt/~r/TSF-Portugal/~3/Kc27nO9OH38/conselho-nacional-promete-ser-tenso-e-com-jogadas-de-bastidores-11165377.html,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
4,False,2019-08-23 11:48:16.703910,,20595394-ceeb-4817-ac26-f64e9afae1f0,en,104147,Toronto Star Blogs,http://thestar.blogs.com,1766039481,2019-08-23 11:42:43,1372664780,[],What the Fed could learn from Canada,https://www.thestar.com/business/economy/opinion/2019/08/23/what-the-fed-could-learn-from-canada.html,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
5,False,2019-07-16 11:37:27.258954,,"
	  c6e984f1e09c37a889513ead76156906	",hi,271181,"Money Bhaskar: Latest Business News In Hindi, Stock Market Update And Economy News In Hindi",http://business.bhaskar.com/,1732285991,2019-07-16 11:37:22,1340102884,[], एमजीएम बालको स्कूल के 13 छात्र राज्य स्तरीय फुटबाल स्पर्धा में दिखाएंगे जौहर ,https://www.bhaskar.com/chhatisgarh/korba/news/chhattisgarh-news-13-students-of-mgm-balco-school-will-show-up-at-state-level-soccer-competition-071506-5010690.html,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
6,False,2019-05-07 04:40:24.957439,,https://www.yjc.ir/fa/news/6924752/فرانسه-از-چین-و-آمریکا-خواست-از-تنش‌های-تجاری-اجتناب-کنند,fa,40600,yjc,http://www.yjc.ir/news/Default.aspx,1661651559,2019-05-07 04:19:22,1276195278,[],فرانسه از چین و آمریکا خواست از تنش‌های تجاری اجتناب کنند,https://www.yjc.ir/fa/news/6924752/فرانسه-از-چین-و-آمریکا-خواست-از-تنش‌های-تجاری-اجتناب-کنند,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
7,False,2019-01-10 15:06:10.127870,,http://feeds.bizjournals.com/~r/industry_10/~3/r3__O-dLoAY/austin-restaurateurs-offer-advice-to.html,en,659602,Denver Business Journal,http://www.bizjournals.com/denver/,1767130890,2013-11-08 06:00:00,1143795054,[],Austin restaurateurs offer advice to eat up,http://feeds.bizjournals.com/~r/industry_10/~3/r3__O-dLoAY/austin-restaurateurs-offer-advice-to.html,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
8,False,2019-07-31 12:29:30.953823,,http://www.haberler.com/flash-2-12293409-haberi/,tr,39736,sondakika,http://www.sondakika.com,1745948846,2019-07-31 12:29:30,1353236157,[],flash,http://www.haberler.com/flash-2-12293409-haberi/,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
9,False,2019-07-30 15:02:16.929204,,https://www.bizjournals.com/cincinnati/news/2019/07/30/90-million-office-tower-planned-for-the-banks.html?ana=RSS&s=article_search,en,659869,Orlando Business Journal,http://www.bizjournals.com/orlando/,1745065821,2019-07-30 14:38:22,1352376305,[],$90 million office tower planned for the Banks: PHOTOS,http://feeds.bizjournals.com/~r/industry_20/~3/OZF62lyDD1I/90-million-office-tower-planned-for-the-banks.html,,"{'date_guess_method': None, 'extractor_version': None, 'geocoder_version': None, 'nyt_themes_version': None}"
